"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ehealth-actionguidance","Basic.extension:intendedAudience","Basic.extension","intendedAudience","","",0,*,"","","","Extension {[CanonicalType[http://ehealth.sundhed.dk/fhir/StructureDefinition/ehealth-intendedAudience]]} {[]}
","The intended audience of the resource","Specifies that the resource is only intended for use in the specified organisations. Leave blank if the resource is intended for global use.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ehealth-actionguidance","Basic.extension:modifierRole","Basic.extension","modifierRole","","",1,*,"","","","Extension {[CanonicalType[http://ehealth.sundhed.dk/fhir/StructureDefinition/ehealth-modifier-role]]} {[]}
","Modifier role","This is a modifier role that can hold a role and a reference to the item who has the role. Ex. owner + a reference to the owner organization.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ehealth-actionguidance","Basic.extension:title","Basic.extension","title","","",0,1,"","","","Extension {[CanonicalType[http://ehealth.sundhed.dk/fhir/StructureDefinition/ehealth-basic-title]]} {[]}
","Name for this (human friendly)","Name for this (human friendly)","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ehealth-actionguidance","Basic.extension:version","Basic.extension","version","","",0,1,"","","","Extension {[CanonicalType[http://ehealth.sundhed.dk/fhir/StructureDefinition/ehealth-version]]} {[]}
","The current version","Business version","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ehealth-actionguidance","Basic.extension:description","Basic.extension","description","","",0,1,"","","","Extension {[CanonicalType[http://ehealth.sundhed.dk/fhir/StructureDefinition/ehealth-description]]} {[]}
","Natural language description","Natural language description","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ehealth-actionguidance","Basic.extension:purpose","Basic.extension","purpose","","",0,1,"","","","Extension {[CanonicalType[http://ehealth.sundhed.dk/fhir/StructureDefinition/ehealth-purpose]]} {[]}
","Why this is defined","Why this is defined","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ehealth-actionguidance","Basic.extension:useContext","Basic.extension","useContext","","",0,1,"","","","Extension {[CanonicalType[http://ehealth.sundhed.dk/fhir/StructureDefinition/ehealth-useContext]]} {[]}
","The context that the content is intended to support","The context that the content is intended to support","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ehealth-actionguidance","Basic.extension:status","Basic.extension","status","","",1,1,"","","","Extension {[CanonicalType[http://ehealth.sundhed.dk/fhir/StructureDefinition/ehealth-status]]} {[]}
","The current status","The current status","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ehealth-actionguidance","Basic.extension:content","Basic.extension","content","","",1,1,"","","","Extension {[CanonicalType[http://ehealth.sundhed.dk/fhir/StructureDefinition/ehealth-content]]} {[]}
","The content","The content","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ehealth-actionguidance","Basic.extension:type","Basic.extension","type","","",1,1,"","","","Extension {[CanonicalType[http://ehealth.sundhed.dk/fhir/StructureDefinition/ehealth-actionguidance-type]]} {[]}
","The action guidance type","The action guidance type","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ehealth-actionguidance","Basic.extension:forType","Basic.extension","forType","","",0,*,"","","","Extension {[CanonicalType[http://ehealth.sundhed.dk/fhir/StructureDefinition/ehealth-actionguidance-for]]} {[]}
","Action guidance for","Action guidance for","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ehealth-actionguidance","Basic.modifierExtension","Basic.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ehealth-actionguidance","Basic.identifier","Basic.identifier","","","",0,*,"","","Y","Identifier {[]} {[]}
","Business identifier","Identifier assigned to the resource for business purposes, outside the context of FHIR.","","","","","","","","","",,,,,"",,,,"Basic.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ehealth-actionguidance","Basic.code","Basic.code","","","",1,1,"","Y","Y","CodeableConcept {[]} {[]}
","Kind of Resource","Identifies the 'type' of resource - equivalent to the resource name for other resources.","Because resource references will only be able to indicate 'Basic', the type of reference will need to be specified in a Profile identified as part of the resource.  Refer to the resource notes section for information on appropriate terminologies for this code.

This element is labeled as a modifier because it defines the meaning of the resource and cannot be ignored.","Must be able to distinguish different types of Basic resources.","","","","","","","",,"required","","http://ehealth.sundhed.dk/vs/basic-resource-type","",,,,"Basic.code",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ehealth-actionguidance","Basic.subject","Basic.subject","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","Identifies the focus of this resource","Identifies the patient, practitioner, device or any other resource that is the ""focus"" of this resource.","Optional as not all potential resources will have subjects.  Resources associated with multiple subjects can handle this via extension.","Needed for partitioning the resource by Patient.","","","","","","","",,,,,"",,,,"Basic.subject",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ehealth-actionguidance","Basic.created","Basic.created","","","",0,1,"","","Y","date {[]} {[]}
","When created","Identifies when the resource was first created.","","Allows ordering resource instances by time.","","","","","","","",,,,,"",,,,"Basic.created",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ehealth-actionguidance","Basic.author","Basic.author","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Who created","Indicates who was responsible for creating the resource instance.","","Needed for partitioning the resource.","","","","","","","",,,,,"",,,,"Basic.author",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ehealth-activitydefinition","ActivityDefinition","ActivityDefinition","","","",0,*,"","","","null {[]} {[]}
","The definition of a specific activity to be taken, independent of any particular patient or context","This resource allows for the definition of some activity to be performed, independent of a particular patient, practitioner, or other performance context.","","","","","","","","","",,,,,"",,,,"ActivityDefinition",0,*,"","adf-0:Name should be usable as an identifier for the module by machine processing applications such as code generation {name.matches('[A-Z]([A-Za-z0-9_]){0,254}')}
dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}"
